Make,Model,Year,Range
Tesla,Model S Long Range,2019,370
Tesla,"Model S Performance (19"" Wheels)",2019,345
Tesla,Model S 100D,2017-2019,335
Tesla,"Model S Performance (21"" Wheels)",2019,325
Tesla,Model S P100D,2016-2019,315
Tesla,Model 3 Long Range,2017-2019,310
Tesla,Model 3 Long Range AWD,2018-2019,310
Tesla,Model 3 Long Range AWD Performance,2018-2019,310
Tesla,Model X 100D,2017-2019,295
Tesla,Model X P100D,2016-2019,289
Tesla,Model 3 Mid Range,2019,264
Hyundai,Kona Electric,2019,258
Kia,Soul Electric,2020,243
Tesla,Model 3 Standard Range Plus,2019,240
Kia,Niro Electric,2019,239
Chevrolet,Bolt EV,2017-2019,238
Jaguar,I-Pace,2019-2020,234
Nissan,Leaf (62 kW-hr battery pack),2019,226
Tesla,Model 3 Standard Range,2019,220
Nissan,Leaf SV/SL (62 kW-hr battery pack),2019,215
Audi,e-tron,2019,204
BYD,e6,2016-2019,187
BMW,i3,2019,153
BMW,i3s,2019,153
Nissan,Leaf (40 kW-hr battery pack),2019,150
Volkswagen,e-Golf,2017-2019,125
Hyundai,Ioniq Electric,2017-2019,124
Kia,Soul Electric,2018-2019,111
Honda,Clarity EV,2017-2019,89
Fiat,500e,2016-2019,84
smart,fortwo electric drive coupe,2017-2019,58
smart,fortwo electric drive convertible,2017-2019,57
